model,horizon,reference_date,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr,3,2024-04-06,1,9.53,0.267,13.4,0.23,0.712,0.981,0,0,0,0,0.019230769230769232,0.019230769230769232,0.11538461538461539,0.1346153846153846,0.15384615384615385,0.17307692307692307,0.19230769230769232,0.23076923076923078,0.36538461538461536,0.5,0.6923076923076923,0.8076923076923077,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9615384615384616,0.9807692307692307,0.9807692307692307,1
UMass-gbq_qr_fit_locations_separately,3,2024-03-16,1,14.5,0.285,21.7,0.272,0.462,0.962,0,0.038461538461538464,0.07692307692307693,0.19230769230769232,0.21153846153846154,0.21153846153846154,0.2692307692307692,0.3269230769230769,0.3269230769230769,0.36538461538461536,0.38461538461538464,0.40384615384615385,0.4423076923076923,0.5192307692307693,0.5769230769230769,0.6923076923076923,0.7307692307692307,0.8076923076923077,0.8653846153846154,0.9230769230769231,1,1,1
UMass-gbq_qr,2,2024-04-06,1,8.71,0.289,12.1,0.247,0.692,1,0,0,0,0,0.038461538461538464,0.057692307692307696,0.09615384615384616,0.1346153846153846,0.15384615384615385,0.2692307692307692,0.34615384615384615,0.38461538461538464,0.40384615384615385,0.5576923076923077,0.6346153846153846,0.7692307692307693,0.7884615384615384,0.9230769230769231,0.9807692307692307,1,1,1,1
UMass-gbq_qr,3,2024-03-09,1,18.3,0.294,27.1,0.285,0.769,1,0,0,0,0,0.057692307692307696,0.09615384615384616,0.15384615384615385,0.21153846153846154,0.36538461538461536,0.5192307692307693,0.5961538461538461,0.7307692307692307,0.7884615384615384,0.8269230769230769,0.8461538461538461,0.9038461538461539,0.9230769230769231,0.9615384615384616,0.9615384615384616,1,1,1,1
UMass-gbq_qr,3,2024-03-16,1,15,0.294,19,0.238,0.923,1,0,0,0,0,0,0,0.019230769230769232,0.09615384615384616,0.17307692307692307,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.5769230769230769,0.6923076923076923,0.8076923076923077,0.8653846153846154,0.9423076923076923,1,1,1,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2024-03-30,1,10.6,0.297,17.4,0.296,0.462,0.942,0,0.057692307692307696,0.07692307692307693,0.1346153846153846,0.15384615384615385,0.19230769230769232,0.21153846153846154,0.25,0.28846153846153844,0.3076923076923077,0.34615384615384615,0.38461538461538464,0.46153846153846156,0.5,0.5576923076923077,0.6346153846153846,0.6730769230769231,0.7115384615384616,0.8653846153846154,0.9615384615384616,1,1,1
UMass-gbq_qr,2,2024-04-13,1,9.67,0.299,13.7,0.274,0.673,1,0,0,0,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.09615384615384616,0.15384615384615385,0.25,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.4807692307692308,0.6538461538461539,0.6538461538461539,0.7307692307692307,0.7692307692307693,0.8076923076923077,0.8846153846153846,0.9230769230769231,0.9615384615384616,1,1
UMass-gbq_qr,1,2024-04-13,1,8.08,0.306,11.1,0.276,0.769,1,0,0,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.2692307692307692,0.3076923076923077,0.40384615384615385,0.5192307692307693,0.5384615384615384,0.6538461538461539,0.75,0.8461538461538461,0.8846153846153846,0.9423076923076923,0.9423076923076923,0.9615384615384616,1,1,1
UMass-gbq_qr,3,2024-03-02,1,16,0.31,22.7,0.293,0.692,1,0,0,0,0.019230769230769232,0.038461538461538464,0.057692307692307696,0.11538461538461539,0.15384615384615385,0.23076923076923078,0.36538461538461536,0.40384615384615385,0.5,0.5576923076923077,0.5769230769230769,0.6153846153846154,0.6923076923076923,0.8076923076923077,0.8846153846153846,0.9423076923076923,0.9615384615384616,1,1,1
UMass-gbq_qr,3,2024-01-13,1,38.4,0.312,54.1,0.319,0.481,0.981,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.09615384615384616,0.21153846153846154,0.3269230769230769,0.38461538461538464,0.46153846153846156,0.5192307692307693,0.5384615384615384,0.5576923076923077,0.6730769230769231,0.7115384615384616,0.7884615384615384,0.8076923076923077,0.8269230769230769,0.8653846153846154,0.9038461538461539,0.9615384615384616,0.9807692307692307,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2024-04-06,1,11.3,0.316,16.7,0.287,0.481,0.885,0.019230769230769232,0.09615384615384616,0.15384615384615385,0.17307692307692307,0.21153846153846154,0.2692307692307692,0.28846153846153844,0.3269230769230769,0.34615384615384615,0.40384615384615385,0.40384615384615385,0.4230769230769231,0.46153846153846156,0.5576923076923077,0.6923076923076923,0.75,0.7692307692307693,0.8461538461538461,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9807692307692307,1
